English Book Title;French Book Title;French 19th-Century Editions;ARTFL-FRANTEXT link;Year FirstEd;Series1;Series2;Series3;Places;Lat Long;Date Begin;Date End;Genre;# of Pages
Louis Lambert;Louis Lambert;1832 (Gosselin), 1836 (Werdet), 1845 (Furne);;1832;Études philosophiques;;;;;;;;
Madame Firmiani;Madame Firmiani;1832, (1re éd. Gosselin), 1835, (éd Béchet), 1839, (Charpentier) 1842, (Furne);;1832;Études de mœurs;Scènes de la vie privée;;;;;;;
La Grenadiere;La Grenadière;1832, (La Revue de Paris), 1842, (1re éd. Furne);;1832;Études de mœurs;Scènes de la vie privée;;Saint-Cyr-sur-Loire;;;;Nouvelle réaliste;
La Grande Breteche;La Grande Bretèche;1832, 1837, 1845;;1832;Études de mœurs;Scènes de la vie privée;;;;;;;
The Deserted Woman;La Femme abandonnée;1833, (1re éd. Béchet);;1833;Études de mœurs;Scènes de la vie privée;;;;;;;
The Maranas;Les Marana;1833, (La Revue de Paris) 1834, (Béchet), 1846 (Furne);;1834;Études philosophiques;;;;;;;;
The Message;Le Message;1833, (Mame-Delaunay).;;1833;Études de mœurs;Scènes de la vie privée;;;;;;;
Gaudissart The Great;L'Illustre Gaudissart;1833, 1843;;1833;Études de mœurs;Scènes de la vie de province;Les parisiens en province;;;;;;
A Woman of Thirty;La Femme de trente ans;1834 (éd.Charles-Béchet), 1842, (Furne);;1834;Études de mœurs;Scènes de la vie privée;;;;;;;
Seraphita;Séraphîta;1834 (La Revue de Paris), 1835 (Werdet), 1846 (Furne);;1834;Études philosophiques;;;;;;;;
A Seaside Tragedy;Un drame au bord de la mer;1834, 1835, 1843, 1846 (Furne);;1834;Études philosophiques;;;;;;;;
The Thirteen;La Duchesse de Langeais;1834, 1839;; 1834;Études de mœurs;Scènes de la vie parisienne;Histoire des Treize;;;;;;
The Quest Of The Absolute;La Recherche de l'absolu;1834, 1839, 1845;;1834;Études philosophiques;;;;;;;;
The Marriage Settlement;Le Contrat de mariage;1835, (1re éd.), 1842, (Furne-Hetzel);;1835;Études de mœurs;Scènes de la vie privée;;;;;;;
Cesar Birotteau;César Birotteau, (Histoire de la grandeur et de la décadence de César Birotteau);1837 ;;1837 ;Études de mœurs;Scènes de la vie parisienne;;;;;;;
The Government Clerks;Les Employés ou La Femme supérieure;1838, (Werdet), 1844, (Furne);;1838;Études de mœurs;Scènes de la vie parisienne;;;;;;;
Another Study of Woman;Autre étude de femme;1839-1842;;1839;Études de mœurs;Scènes de la vie privée;;;;;;;
A Daugher of Eve;Une fille d'Ève;1839, (Souverain), 1842( Furne);;1839;Études de mœurs;Scènes de la vie privée;;;;;;;
Z. Marcas;Z. Marcas;1840, (La Revue parisienne), 1841, (Dessessart), 1846, (Furne);;1840;Études de mœurs;Scènes de la vie politique;;;;;;;
A Prince of Bohemia;Un prince de la bohème;1840, 1844 édition Potter, 1846, édition Furne;;1840;Études de mœurs;Scènes de la vie parisienne;;;;;;;
Albert Savarus;Albert Savarus;1842, (1re éd. Furne);;1842;Études de mœurs;Scènes de la vie privée;;;;;;;
The Imaginary Mistress;La Fausse maîtresse;1842, (1re éd. Furne);;1842;Études de mœurs;Scènes de la vie privée;;;;;;;
The Vendetta;La Vendetta;1842, (1re éd. Furne);;1842;Études de mœurs;Scènes de la vie privée;;Paris;;1800;1830;;
Letters of Two Brides;Mémoires de deux jeunes mariées;1842, (1re éd. Furne);;1842;Études de mœurs;Scènes de la vie privée;;;;;;;
Honorine;Honorine;1843, (La Presse), 1844, (Potter), 1845, (Furne);;1843;Études de mœurs;Scènes de la vie privée;;;;;;;
The Gondreville Mystery;Une ténébreuse affaire;1843, (Souverain et Lecou), 1846, (Furne).;;1843;Études de mœurs;Scènes de la vie politique;;;;;;;
A Start in Life;Un début dans la vie;1844 (1re éd.), 1845 (Furne).;;1844;Études de mœurs;Scènes de la vie privée;;;;;;;
About Catherine de' Medici;Sur Catherine de Médicis;1846 (Furne);;1836-1844;Études philosophiques;;;;;;;;
The Unconscious Humorists;Les Comédiens sans le savoir;1846, (Courrier français);;1846;Études de mœurs;Scènes de la vie parisienne;;;;;;;
The Peasantry;Les Paysans (inachevé);Publié en 1854 par la comtesse Evelina Hanska, Madame de Balzac.;;1854;Études de mœurs;Scènes de la vie de campagne;;;;;;;
The Middle Classes;Les Petits Bourgeois (inachevé);terminé et publié par Charles Rabou en 1856-185464;;1856;Études de mœurs;Scènes de la vie parisienne;;;;;;;
A Man of Business;Un homme d’affaires (Esquisse d’homme d’affaires d’après nature), 1844 aux éditions Hetzel;;;1844;Études de mœurs;Scènes de la vie parisienne;;;;;;;
