Name	Appears in	Start Page	End Page	AFTFL Refs #	ARTFL linlk	Dates Appears in the Comedy
Loraux, Abbe	A Start In Life::A Bachelor's Establishment::Cesar Birotteau::Honorine::					
Lorrain	Pierrette::					
Lorrain	Pierrette::					
Lorrain	Pierrette::					
Lorrain, Madame	Pierrette::					
Lorrain, Pierrette	Pierrette::					
Louchard	Scenes From A Courtesan's Life::Cousin Pons::					
Louchard, Madame	The Middle Classes::					
Loudon, Prince De	The Chouans::Modeste Mignon::					
Loudon, Prince Gaspard De	Modeste Mignon::					
Louis Xviii., Louis-Stanislas-Xavier	The Chouans::The Seamy Side Of History::The Gondreville Mystery::Scenes From A Courtesan's Life::The Ball At Sceaux::The Lily Of The Valley::Colonel Chabert::The Government Clerks::					
Louise	Cousin Betty::					
Lourdois	At The Sign Of The Cat And Racket::Cesar Birotteau::					
Lousteau	A Bachelor's Establishment::					
Lousteau, Etienne	A Distinguished Provincial At Paris::A Bachelor's Establishment::Scenes From A Courtesan's Life::A Daughter Of Eve::Beatrix::The Muse Of The Department::Cousin Betty::A Prince Of Bohemia::A Man Of Business::The Middle Classes::The Unconscious Humorists::					
Luigia	The Member For Arcis::					
Lupeaulx, Clement Chardin Des	The Muse Of The Department::Eugenie Grandet::A Bachelor's Establishment::A Distinguished Provincial At Paris::The Government Clerks::Scenes From A Courtesan's Life::Ursule Mirouet::					
Lupeaulx, Des	The Peasantry::					
Lupin	The Peasantry::					
Lupin, Amaury	The Peasantry::A Start In Life::					
Lupin, Madame	The Peasantry::					
Machillot, Madame	The Seamy Side Of History::					
Macumer, Baronne De	See Gaston, Madame Marie::					
Macumer, Felipe Henarez, Baron De	Letters Of Two Brides::					
Madeleine	Scenes From A Courtesan's Life::Cousin Pons::					
Madou, Angelique	Cesar Birotteau::					
Magnan, Madame	The Red Inn::					
Magnan, Prosper	The Red Inn::					
Magus, Elie	The Vendetta::A Marriage Settlement::A Bachelor's Establishment::Pierre Grassou::Cousin Pons::					
Mahoudeau, Madame	The Middle Classes::					
Mahuchet, Madame	The Unconscious Humorists::					
Malaga						
Malassis, Jeanne	The Country Parson::					
Malfatti	Massimilla Doni::					
Malin	See Gondreville::					
Mallet	The Seamy Side Of History::					
Malvaut, Jenny	See Derville, Madame::					
Mancini, De	The Maranas::					
Mancini, Juana-Pepita-Maria De	See Diard, Madame::					
Manerville, Comtesse Paul De	A Marriage Settlement::The Lily Of The Valley::A Daughter Of Eve::					
Manerville, De	A Marriage Settlement::					
Manerville, Paul Francois-Joseph, Comte De	The Thirteen::The Ball At Sceaux::Lost Illusions::A Distinguished Provincial At Paris::A Marriage Settlement::					
Manette	The Lily Of The Valley::					
Manon	See Godard, Manon::					
Manon-La-Blonde	Scenes From A Courtesan's Life::					
Manseau, Pere	The Country Doctor::					
Marana, La	The Hated Son::The Maranas::					
Marcas, Zephirin	A Prince Of Bohemia::Z. Marcas::					
Marchand, Victor	El Verdugo::					
Marche-A-Terre	See Leroi, Pierre::					
Marcillac, Madame De	Father Goriot::					
Marcosini, Count Andrea	Gambara::					
Marechal	The Peasantry::					
Mareschal	Louis Lambert::					
Marest, Frederic	The Member For Arcis::					
Marest, Georges	The Peasantry::A Start In Life::					
Margaritis	Gaudissart The Great::					
Margaritis, Madame	Gaudissart The Great::					
Margueron	A Start In Life::					
Marianne	The Vicar Of Tours::					
Marianne	The Gondreville Mystery::					
Mariast	The Commission In Lunacy::					
Marie Des Anges, Mere	The Member For Arcis::					
Mariette	See Godeschal, Marie::					
Mariette	Albert Savarus::					
Mariette	Jealousies Of A Country Town::					
Mariette	The Country Doctor::					
Marigny, De	The Thirteen::					
Marigny, Duchesse De	The Thirteen::					
Marin	The Member For Arcis::					
Marion	The Gondreville Mystery::The Member For Arcis::					
Marion	See Kolb, Madame::					
Marion 	The Gondreville Mystery::The Member For Arcis::					
Marion, Madame	The Member For Arcis::					
Mariotte	The Peasantry::					
Mariotte, Madame	The Peasantry::					
Marius	The Unconscious Humorists::					
Marmus	The Middle Classes::					
Marmus, Madame	The Middle Classes::					
Marneffe, Jean-Paul-Stanislas	Cousin Betty::					
Marneffe, Madame	See Crevel, Madame Celestin::					
Marneffe, Stanislas	Cousin Betty::					
Marolles, Abbe De	An Episode Under The Terror::					
Maronis, Abbe De	The Thirteen::					
Marron	Lost Illusions::Scenes From A Courtesan's Life::					
Marsay, De	The Thirteen::					
Marsay, Henri De	The Thirteen::The Unconscious Humorists::Another Study Of Woman::The Lily Of The Valley::Father Goriot::Jealousies Of A Country Town::Ursule Mirouet::A Marriage Settlement::Lost Illusions::A Distinguished Provincial At Paris::Letters Of Two Brides::The Ball At Sceaux::Modeste Mignon::The Secrets Of A Princess::The Gondreville Mystery::A Daughter Of Eve::					
Marsay, Madame De	See Vordac, Marquise De::					
Marsay, Mademoiselle De	The Thirteen::					
Martainville, Alphonse-Louis-Dieudonne	A Distinguished Provincial At Paris::					
Martener	Pierrette::					
Martener	Pierrette::					
Martener	The Member For Arcis::					
Martener, Madame	Pierrette::					
Martha 	The Quest For The Absolute::					
Marthe, Sister	The Country Parson::					
Marthe, Sister	An Episode Under The Terror::					
Marthe, Sister	Letters Of Two Brides::					
Martin	The Country Doctor::					
Martineau	The Lily Of The Valley::					
Martineau	The Lily Of The Valley::					
Marty, Jean-Baptiste	Father Goriot::					
Marville, De	See Camusot::					
Mary	Letters Of Two Brides::The Member For Arcis::					
Massin-Levrault	Ursule Mirouet::					
Massin-Levrault, Madame	Ursule Mirouet::					
Massol	Scenes From A Courtesan's Life::The Magic Skin::A Daughter Of Eve::Cousin Betty::The Unconscious Humorists::					
Masson	A Distinguished Provincial At Paris::					
Masson, Publicola	The Unconscious Humorists::					
Mathias	A Marriage Settlement::					
Mathilde, La Grande	Gaudissart The Great::					
Mathurine	Cousin Betty::					
Matifat	Cesar Birotteau::A Bachelor's Establishment::Lost Illusions::A Distinguished Provincial At Paris::The Firm Of Nucingen::Cousin Pons::					
Matifat, Madame	Cesar Birotteau::The Firm Of Nucingen::					
Matifat, Mademoiselle	Cesar Birotteau::The Firm Of Nucingen::Pierrette::					
Maucombe, Comte De	Lost Illusions::Letters Of Two Brides::					
Maucombe, Jean De	Letters Of Two Brides::					
Maufrigneuse, Berthe De	Beatrix::The Gondreville Mystery::The Member For Arcis::					
Maufrigneuse, Duc De	The Secrets Of A Princess::A Start In Life::A Bachelor's Establishment::Scenes From A Courtesan's Life::					
Maufrigneuse, Duchesse De	The Secrets Of A Princess::Modeste Mignon::Jealousies Of A Country Town::The Muse Of The Department::Scenes From A Courtesan's Life::Letters Of Two Brides::Another Study Of Woman::The Gondreville Mystery::The Member For Arcis::					
Maufrigneuse, Georges De	The Secrets Of A Princess::The Gondreville Mystery::Beatrix::The Member For Arcis::					
Maugredie	The Magic Skin::					
Maulincour, Auguste Carbonnon De	The Thirteen::					
Maulincour(Baronne De	A Marriage Settlement::The Thirteen::					
Mauny, Baron De	A Woman Of Thirty::					
Maupin, Camille	See Touches, Felicite Des::					
Maurice	Father Goriot::Gobseck::					
Medal, Robert	Cousin Pons::					
Melin	The Seamy Side Of History::					
Melmoth, John	Melmoth Reconciled::					
Memmi, Emilio	See Varese, Prince de::					
Mene-A-Bien						
Mergi, Auguste De	The Seamy Side Of History::					
Mergi, Baronne Vanda De	The Seamy Side Of History::					
Mergi, De	The Seamy Side Of History::					
Mergi, De	The Seamy Side Of History::					
Merkstus	The Quest Of The Absolute::					
Merle	The Chouans::					
Merlin	The Gondreville Mystery::					
Merlin, Hector	A Distinguished Provincial At Paris::					
Merlin De La Blottiere, Mademoiselle	The Vicar Of Tours::					
Merret, De	La Grande Breteche::					
Merret, Madame Josephine De	La Grande Breteche::					
Metivier	Lost Illusions::The Government Clerks::The Middle Classes::					
Metivier	The Seamy Side Of History::The Middle Classes::					
Meynardie, Madame	The Thirteen::Scenes From A Courtesan's Life::					
Meyraux	Louis Lambert::A Distinguished Provincial At Paris::					
Michaud, Justin	The Peasantry::					
Michaud, Madame Justin	The Peasantry::					
Michel	The Peasantry::					
Michonneau, Christine-Michelle	See Poiret, The Elder, Madame::					
Michu	The Gondreville Mystery::					
Michu, Francois	The Gondreville Mystery::Jealousies Of A Country Town::The Member For Arcis::					
Michu, Madame Francois	The Gondreville Mystery::The Member For Arcis::					
Michu, Marthe	The Gondreville Mystery::					
Migeon	The Muse Of The Department::					
Migeon, Pamela	The Muse Of The Department::					
Mignon, Bettina-Caroline	Modeste Mignon::					
Mignon, Madame Charles	Modeste Mignon::					
Mignon, Marie-Modeste	See La Bastie-La Briere, Madame Ernest de::					
Mignon De La Bastie, Charles	Modeste Mignon::					
Mignonnet	A Bachelor's Establishment::					
Milaud	Lost Illusions::The Muse Of The Department::					
Milaud De La Baudraye	See La Baudraye::					
Millet	The Seamy Side Of History::					
Minard, Auguste-Jean-Francois	The Government Clerks::The Firm Of Nucingen::The Middle Classes::					
Minard, Julien	The Middle Classes::					
Minard, Louis	The Seamy Side Of History::					
Minard, Madame	The Government Clerks::The Middle Classes::					
Minard, Prudence	The Middle Classes::Cousin Pons::					
Minette	A Distinguished Provincial At Paris::					
Minoret, Desire	Ursule Mirouet::					
Minoret, Doctor Denis	Ursule Mirouet::					
Minoret-Levrault, Francois	Ursule Mirouet::					
Minoret-Levrault, Madame Francois	Ursule Mirouet::					
Minorets, The	The Government Clerks::					
Mirah, Josepha	Cousin Betty::					
Mirault	Lost Illusions::					
Mirbel, Madame De	Letters Of Two Brides::Scenes From A Courtesan's Life::The Secrets Of A Princess::					
Mirouet, Joseph	Ursule Mirouet::					
Mirouet, Ursule	See Portenduere, Vicomtesse Savinien De::					
Mirouet, Valentin	Ursule Mirouet::					
Mitant, La	The Peasantry::					
Mitouflet	Gaudissart The Great::					
Mitouflet	Cousin Betty::					
Mitral	Cesar Birotteau::The Government Clerks::					
Mizerai	Z. Marcas::					
Modinier	Albert Savarus::					
Moinot	The Thirteen::					
Moise	Scenes From A Courtesan's Life::					
Moise	The Member For Arcis::					
Molineux, Jean-Baptiste	A Second Home::The Purse::Cesar Birotteau::					
Mollot	The Member For Arcis::					
Mollot, Earnestine	The Member For Arcis::					
Mollot, Madame Sophie	The Member For Arcis::					
Mongenod	The Seamy Side Of History::Cesar Birotteau::					
Mongenod, Frederic	The Commission In Lunacy::The Seamy Side Of History::					
Mongenod, Louis	The Seamy Side Of History::					
Mongenod, Madame Charlotte	The Seamy Side Of History::					
Mongenod, Mademoiselle	The Seamy Side Of History::					
Monistrol	Cousin Pons::					
Montauran, Marquis Alophonse De	Cesar Birotteau::The Chouans::					
Montauran, Marquis De	The Chouans::The Seamy Side Of History::Cousin Betty::					
Montauran, Marquise Alphonse De	The Chouans::					
Montbauron, Marquise De	The Magic Skin::					
Montcornet, Comtesse De.	See Blondet, Madame Emile::					
Montcornet, Marechal, Comte De	Domestic Peace::Lost Illusions::A Distinguished Provincial At Paris::Scenes From A Courtesan's Life::The Peasantry::A Man Of Business::Cousin Betty::					
Montefiore	The Maranas::					
Montes De Montejanos, Baron	Cousin Betty::					
Montpersan, Comte De	The Message::					
Montpersan, Comtesse Juliette De	The Message::					
Montpersan, Mademoiselle De	The Message::					
Montriveau, Comte De	The Thirteen::					
Montriveau, Général Marquis Armand De	The Thirteen::Father Goriot::Lost Illusions::A Distinguished Provincial At Paris::Another Study Of Woman::Pierrette::The Member For Arcis::					
Montriveau, Général Marquis De	The Thirteen::					
Morand	The Seamy Side Of History::					
Moreau	A Start In Life::					
Moreau	Jealousies Of A Country Town::					
Moreau	The Thirteen::					
Moreau, Jacques	A Start In Life::					
Moreau, Madame Estelle	A Start In Life::					
Morillon, Pere	The Quest Of The Absolute::					
Morin, Jeanne-Marie-Victoire Tarin, Veuve	Father Goriot::					
Morin, La	The Country Doctor::					
Morisson	Cousin Pons::					
Mortsauf, Comte De	The Lily Of The Valley::					
Mortsauf, Comtesse De	The Lily Of The Valley::					
Mortsauf, Jacques De	The Lily Of The Valley::					
Mortsauf, Madeleine De	The Lily Of The Valley::					
Mouche	The Peasantry::					
Mouchon	The Peasantry::					
Mouchon	The Peasantry::					
Mougin	The Unconscious Humorists::					
Mouilleron	A Bachelor's Establishment::					
Murat, Joachim, Prince	The Vendetta::The Gondreville Mystery::Colonel Chabert::Domestic Peace::The Country Doctor::					
Muret 	Father Goriot::					
Musson	Scenes from a Courtesan's Life::					
Nanon	Eugenie Grandet::					
Napolitas	Scenes From A Courtesan's Life::					
Narzicof, Princess	Gaudissart II::					
Nathan, Madame Raoul	The Muse Of The Department::Lost Illusions::A Distinguished Provincial At Paris::Scenes From A Courtesan's Life::The Government Clerks::A Bachelor's Establishment::Ursule Mirouet::Eugenie Grandet::The Imaginary Mistress::A Prince Of Bohemia::A Daughter Of Eve::The Unconscious Humorists::					
Nathan, Raoul	Lost Illusions::A Distinguished Provincial At Paris::Scenes From A Courtesan's Life::The Secrets Of A Princess::A Daughter Of Eve::Letters Of Two Brides::The Seamy Side Of History::The Muse Of The Department::A Prince Of Bohemia::A Man Of Business, The Unconscious Humorists::					
Navarreins, Duc De	A Bachelor's Establishment::The Thirteen::Jealousies Of A Country Town::The Peasantry::Scenes From A Courtesan's Life::The Country Parson::The Magic Skin::The Gondreville Mystery::The Secrets Of A Princess::Cousin Betty::					
Negrepelisse, Comte Clement De	The Commission In Lunacy::					
Negrepelisse, De	The Commission In Lunacy::Lost Illusions::A Distinguished Provincial At Paris::					
Negro, Marquis Di	Honorine::					
Nepomucene	The Seamy Side Of History::					
Neraud	Pierrette::					
Neraud, Madame	Pierrette::					
Nicolas	See Montauran, Marquis De::					
Ninette	The Unconscious Humorists::					
Niseron	The Peasantry::					
Niseron, Auguste	The Peasantry::					
Niseron, Genevieve	The Peasantry::					
Niseron, Jean-Francois	The Peasantry::					
Noel	The Commission In Lunacy::					
Nolland, Abbe	Lost Illusions::					
Noswell, Mistress	Gaudissart Ii::					
Nouastre, Baron De	Jealousies Of A Country Town::					
Nourrisson, Madame	Scenes From A Courtesan's Life::Cousin Betty::The Unconscious Humorists::					
Nouvion, Comte De	The Commission In Lunacy::					
Noverre	At The Sign Of The Cat And Racket::					
Nucingen, Baron Frederic De	The Firm Of Nucingen::Father Goriot::Pierrette::Cesar Birotteau::Lost Illusions::A Distinguished Provincial At Paris::Scenes From A Courtesan's Life::Another Study Of Woman::The Secrets Of A Princess::A Man Of Business::Cousin Betty::The Muse Of The Department::The Unconscious Humorists::					
Nucingen, Baronne Delphine De	The Member For Arcis::					
Nueil, De	The Deserted Woman::					
Nueil, De	The Deserted Woman::					
Nueil, Gaston De	The Deserted Woman::Albert Savarus::					
Nueil, Madame De	The Deserted Woman::					
Nueil, Madame Gaston De	The Deserted Woman::					
O'Flaharty, Major	The Magic Skin::					
Oignard	A Start In Life::					
Olga	Cousin Pons::					
Olivet	Lost Illusions::					
Olivier	The Gondreville Mystery::					
Olivier, Monsieur And Madame	Cousin Betty::					
Orfano, Duc D'						
Orgemont, D'	The Chouans::					
Orgemont, D'	The Chouans::					
Origet	The Lily Of The Valley::					
Orsonval, Madame D'	Eugenie Grandet::					
Ossian	The Unconscious Humorists::					
Ottoboni	Gambara::					
Paccard	Scenes From A Courtesan's Life::					
Paccard, Mademoiselle	Scenes From A Courtesan's Life::					
Palma	The Ball At Sceaux::					
Pamiers, Vidame De	Jealousies Of A Country Town::					
Pannier	The Seamy Side Of History::					
Paradis	The Member For Arcis::					
Parquoi, Francois	The Chouans::					
Pascal	The Middle Classes::					
Pascal, Abbe	The Country Parson::					
Pastelot	Cousin Pons::					
Pastureau, Jean Francois	The Country Doctor::					
Patrat, Maitre	The Chouans::					
Pauline	A Woman Of Thirty::					
Paulmier	The Government Clerks::					
Paz, Thaddee	The Imaginary Mistress::Cousin Betty::					
Pechina, La						
Pederotti, Signor	Honorine::					
Peitro	The Vendetta::					
Pelletier	The Country Doctor::					
Pen-Hoel, Jacqueline De	Beatrix::					
Peroux, Abbe	Pierrette::					
Perrache	The Middle Classes::					
Perrache, Madame	The Middle Classes::					
Perret, Madame	The Country Parson::					
Perrotet	Eugenie Grandet::					
Petit-Claud	Lost Illusions::					
Petit-Claud, Madame	Lost Illusions::					
Peyrade	The Gondreville Mystery::Scenes From A Courtesan's Life::					
Peyrade, Lydie	See La Peyrade, Madame Theodose de::					
Phellion	The Government Clerks::The Middle Classes::					
Phellion, Felix	The Middle Classes::					
Phellion, Madame Felix	The Middle Classes::					
Phellion, Madame						
Phellion, Marie-Theodore	The Middle Classes::					
Philippart, Messieurs	The Country Parson::					
Philippe	Letters Of Two Brides::The Member For Arcis::					
Pichard, Arsene	The Peasantry::					
Pichard, Mademoiselle	The Peasantry::					
Picot, Nepomucene	The Middle Classes::					
Picquoiseau, Comtesse	Father Goriot::					
Piedefer, Abraham	The Muse Of The Department::					
Piedefer, Madame Moise	The Muse Of The Department::					
Piedefer, Moise	The Muse Of The Department::					
Piedefer, Silas	The Muse Of The Department::					
Pierquin	The Quest Of The Absolute::					
Pierquin	The Quest Of The Absolute::					
Pierquin, Madame	The Quest Of The Absolute::					
Pierrot	The Seamy Side Of History::					
Pierrotin	A Start In Life::					
Pigeau	Scenes From A Courtesan's Life::					
Pigeau, Madame	Scenes From A Courtesan's Life::					
Pigeron	The Peasantry::					
Pigoult	The Member For Arcis::					
Pigoult	The Member For Arcis::					
Pigoult, Achille	The Member For Arcis::					
Pillerault, Claude-Joseph	Cousin Pons::					
Pillerault, Constance-Barbe-Josephine	See Birotteau, Madame Cesar::					
Pimentel, Marquis And Marquise De	Lost Illusions::					
Pinaud, Jacques	The Chouans::					
Pingret	The Country Parson::					
Pinson	The Middle Classes::					
Piombo, Baron Bartolomeo Di	The Vendetta::					French::Corsican
Piombo, Baronne Elisa Di	The Vendetta::					French::Corsican
Piombo, Ginevra Di	See Porta, Madame Luigi::					French::Corsican
Piombo, Gregorio Di	The Vendetta::					French::Corsican
Piquetard, Agathe	See Hulot d'Ervy, Baronne Hector::					
Piquoizeau	Melmoth Reconciled::					
Pius Vii., Barnabas Chiaramonti	A Second Home::					
Plaisir	A Second Home::					
Planchette	The Magic Skin::					
Plantin	A Daughter Of Eve::					
Plissoud	The Peasantry::					
Plissoud, Madame Euphemie	The Peasantry::					
Poidevin	A Start In Life::					
Poincet	The Thirteen::					
Poirel, Abbe	The Vicar Of Tours::					
Poiret	The Government Clerks::					
Poiret	The Middle Classes::					
Poiret, Madame	The Middle Classes::					
Polissard	The Peasantry::					
Pollet	A Distinguished Provincial At Paris::					
Pombreton, Marquis De	Lost Illusions::A Distinguished Provincial At Paris::Jealousies Of A Country Town::					
Pomponne, La	See Toupinet, Madame::					
Pons, Sylvain	Cousin Pons::					
Popinot	Cesar Birotteau::					
Popinot, Anselme	Cousin Betty::					
Popinot, Jean-Jules	The Middle Classes::					
Popinot, Madame Anselme	Cousin Pons::					
Popinot, Vicomte	Cousin Betty::					
Popinot, Vicomtesse	Cousin Pons::					
Popinot-Chandier, Madame And Mademoiselle	The Muse Of The Department::					
Porchon	See Vidal::					
Porraberil, Euphemie	See San-Real, Marquise De::					
Porriquet	The Magic Skin::					
Porta, Luigi	The Vendetta::					
Porta, Madame Luigi	The Vendetta::					
Portail, Du	The Government Clerks::					
Portenduere, Comte Luc-Savinien De	Ursule Mirouet::					
Portenduere, Madame De,	Ursule Mirouet::					
Portenduere, Vicomte Savinien De	Beatrix::					
Portenduere, Vicomtesse Savinien De	Beatrix::					
Postel	Lost Illusions::					
Postel, Madame	Lost Illusions::					
Potasse	The Middle Classes::					
Potel	A Bachelor's Establishment::					
Poulain, Doctor	Cousin Pons::					
Poulain, Madame	Cousin Pons::					
Poupart	The Member For Arcis::					
Poutin	Cousin Betty::					
Prelard, Madame	Scenes From A Courtesan's Life::					
Prevost, Madame	Scenes From A Courtesan's Life::					
Prieur, Madame	Lost Illusions::					
Pron, Monsieur And Madame	The Middle Classes::					
Protez And Chiffreville	Cesar Birotteau::					
Proust	A Start In Life::					
Provencal, Le	A Passion In The Desert::					
Quelus, Abbe	The Lily Of The Valley::					
Queverdo	Letters Of Two Brides::					
Quillet, Francois	A Daughter Of Eve::					
Rabouilleuse, La	See this last name::					
Rabourdin, Charles	Z. Marcas::					
Rabourdin, Madame	The Commission In Lunacy::The Government Clerks::					
Rabourdin, Xavier	The Middle Classes::					
Racquets, Des	See Raquets, Des::					
Ragon	Cesar Birotteau::An Episode Under The Terror::					
Ragon, Madame	Cesar Birotteau::					
Ragoulleau, Jean-Antoine	Father Goriot::					
Raguet	Cesar Birotteau::					
Raparlier	The Quest For The Absolute::					
Raparlier	The Quest Of The Absolute::					
Rapp	The Gondreville Mystery::					
Raquets, Des	The Quest Of The Absolute::					
Rastignac, Baron And Baronne De	Father Goriot::Lost Illusions::					
Rastignac, Chevalier De	Father Goriot::					
Rastignac, Eugène De	Cousin Betty::The Member For Arcis::The Unconscious Humorists::					
Rastignac, Henri De	Father Goriot::					
Rastignac, Laure-Rose And Agathe De	The Member For Arcis::					
Rastignac, Monseigneur Gabriel De	Father Goriot::The Country Parson::A Daughter Of Eve::					
Ratel	The Seamy Side Of History::					
Ravenouillet	The Unconscious Humorists::					
Ravenouillet, Lucienne	The Unconscious Humorists::					
Ravenouillet, Madame	The Unconscious Humorists::					
Regnauld, Baron	A Bachelor's Establishment::					
Regnault	La Grande Breteche::					
Regnier, Claude-Antoine	The Gondreville Mystery::A Second Home::					
Remonencq	Cousin Pons::					
Remonencq, Madame	Cousin Pons::					
Remonencq, Mademoiselle	Cousin Pons::					
Remy, Jean	The Member For Arcis::					
Renard	A Bachelor's Establishment::					
Renard	The Country Doctor::					
Renard, Adrien	See Genestas, Adrien::					
Renard, Madame	See Genestas, Madame::					
Rene	Jealousies Of A Country Town::					
Restaud, Comte De	Gobseck::Father Goriot::					
Restaud, Comtesse Anastasie De	Gobseck::Father Goriot::					
Restaud, Ernest De	Gobseck::The Member For Arcis::					
Restaud, Felix-Georges De	Gobseck::The Member For Arcis::					
Restaud, Madame Ernest De	Gobseck::The Member For Arcis::					
Restaud, Pauline De	Gobseck::					
Reybert, De	A Start In Life::					
Reybert, Madame De	A Start In Life::					
Rhetore, Duc Alphonse De	The Member For Arcis::					
Rhetore, Duchess De	Albert Savarus::					
Richard, Veuve	Ursule Mirouet::					
Ridal, Fulgence	The Unconscious Humorists::					
Riffe	The Government Clerks::					
Rifooel	See Vissard, Chevalier Du::					
Riganson	Scenes From A Courtesan's Life::					
Rigou, Gregoire	The Peasantry::					
Rigou, Madame	The Peasantry::					
Rivaudoult D'Arschoot	The Thirteen::					
Rivet, Achille	Cousin Betty::Cousin Pons::					
Robert	A Distinguished Provincial At Paris::					
Rochefide, Marquis Arthur De	Cousin Betty::					
Rochefide, Marquise De	A Prince Of Bohemia::					
Rochegude, Marquis De	A Distinguished Provincial at Paris::					
Rodolphe	Albert Savarus::					
Roger	Cousin Betty::					
Rogron	Pierrette::					
Rogron, Jerome-Denis	Pierrette::					
Rogron, Madame Denis	Pierrette::					
Rogron, Madame	Pierrette::					
Rogron, Sylvie	Pierrette::					
Roguin	The Vendetta::					
Roguin, Madame	A Daughter Of Eve::					
Roguin, Mathilde-Melanie	See Tiphaine, Madame::					
Romette, La	See Paccard, Jeromette::					
Ronceret, Du	Beatrix::					
Ronceret, Fabien-Felicien Du	Gaudissart Ii::					
Ronceret, Madame Du	Jealousies Of A Country Town::					
Ronceret, Madame Fabien Du	Beatrix::The Muse Of The Department::Cousin Betty::The Unconscious Humorists::					
Ronquerolles, Marquis De	The Member For Arcis::					
Rosalie	La Grande Breteche::					
Rosalie	A Start In Life::					
Rose	Letters Of Two Brides::					
Rosina	Another Study Of Woman::					
Roubaud	The Country Parson::					
Rouget, Doctor	A Bachelor's Establishment::					
Rouget, Jean-Jacques	The Muse Of The Department::					
Rouget, Madame Jean-Jacques	See Bridau, Madame Philippe::					
Rouget, Madame	A Bachelor's Establishment::					
Rousse, La	See This Last Name::					
Rousseau	The Seamy Side Of History::					
Roustan	The Gondreville Mystery::					
Rouville, De	See Leseigneur, Madame::					
Rouvre, Chevalier Du	The Imaginary Mistress::Ursule Mirouet::					
Rouvre, Marquis Du	Ursule Mirouet::					
Rouzeau	Lost Illusions::					
Rubempre, Lucien-Chardon De	Lost Illusions::A Distinguished Provincial at Paris::The Government Clerks::Ursule Mirouet::Scenes from a Courtesan's Life::					
Ruffard	Scenes From A Courtesan's Life::					
Ruffin	The Country Parson::					
Rusticoli	See La Palferine::					
Sabatier	The Gondreville Mystery::					
Sabatier, Madame	Cousin Pons::					
Sagreda, Bianca	Facino Cane::					
Sagredo	Facino Cane::					
Saillard	The Government Clerks::The Middle Classes::					
Saillard, Madame	Cesar Birotteau::The Government Clerks::					
Sain	Cousin Betty::					
Saint-Denis, De						
Saint-Esteve, De						
Saint-Esteve, Madame De						
Saint-Foudrille, De	The Middle Classes::					
Saint-Foudrille, Madame De	The Middle Classes::					
Saint-Georges, Chevalier De	At the Sign of the Cat and Racket::					
Saint-Germain, De						
Saint-Hereen, Comte De	A Woman Of Thirty::					
Saint-Hereen, Countess Moina De	The Member For Arcis::					
Saint-Martin, Louis-Claude De	The Lily Of The Valley::					
Saint-Vier, Madame De	See Gentillet::					
Sainte-Beauve, Charles-Augustin	A Prince Of Bohemia::					
Sainte-Severe, Madame De	The Deserted Woman::					
Saintot, Astolphe De	Lost Illusions::					
Saintot, Madame De	Lost Illusions::					
Sallenauve, Comte De	The Member For Arcis::					
Sallenauve, Comtesse De	Letters Of Two Brides::The Member For Arcis::					
Sallenauve, Francois-Henri-Pantaleon-Dumirail, Marquis De	The Member For Arcis::					
Salmon	The Vicar Of Tours::					
Salomon, Joseph	Louis Lambert::					
Samanon	Cousin Betty::					
San Real, Marquise De	The Thirteen::					
San-Esteban, Marquise De	Scenes From A Courtesan's Life::					
San-Real, Don Hijos, Marquis De	The Thirteen::					
Sanson	Scenes from a Courtesan's Life::					
Sanson, Charles-Henri	An Episode Under The Terror::					
Sarcus	The Peasantry::					
Sarcus	The Peasantry::					
Sarcus	The Peasantry::					
Sarcus, Madame	The Peasantry::					
Sarcus-Taupin	The Peasantry::					
Sarrasine	Sarrasine::					
Sarrasine, Ernest-Jean	Sarrasine::The Member For Arcis::					
Sarrasine, Matthieu Or Mathieu	Sarrasine::					
Sauteloup	Scenes From A Courtesan's Life::					
Sauvage	Jealousies Of A Country Town::					
Sauvage, Madame	Cousin Pons::					
Sauvagnest	A Start In Life::					
Sauvaignou	The Middle Classes::					
Sauviat, Jerome-Baptiste	The Country Parson::					
Sauviat, Madame	The Country Parson::					
Savaron De Savarus	Albert Savarus::					
Savarus, Albert Savaron De	The Quest Of The Absolute::Albert Savarus::					
Scherbelloff	The Peasantry::Jealousies Of A Country Town::					
Schiltz, Josephine	See Ronceret, Madame Fabien du::					
Schiltz Married A Barnheim, Of Baden	Beatrix::					
Schinner, Hippolyte	The Unconscious Humorists::					
Schinner, Madame	The Purse::					
Schinner, Mademoiselle	The Purse::					
Schmucke, Wilhelm	Cousin Pons::					Prussian
Schontz, Madame	See this last name::					
Schwab, Madame Wilhelm	Cousin Pons::					
Schwab, Wilhelm	Cousin Pons::					
Scio, Madame	The Seamy Side Of History::					
Scoevola, Mucius	An Episode Under The Terror::					
Sechard, David	Lost Illusions::A Distinguished Provincial At Paris::Scenes From A Courtesan's Life::					
Sechard, Jerome-Nicolas	Lost Illusions::					
Sechard, Lucien	Lost Illusions::					
Sechard, Madame David	Lost Illusions::A Distinguished Provincial At Paris::Scenes From A Courtesan's Life::					
Segaud	Lost Illusions::					
Selerier	Scenes From A Courtesan's Life::					
Senonches, Jacques De	Lost Illusions::					
Senonches, Madame Jacques De	Lost Illusions::					
Sepherd, Carl	Eugenie Grandet::					
